../bba/Open_and_Rebid.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
47    S  3N-S       630          AQT83.94.QJ62.Q8 97654.AT86.K9.T6 2.KJ2.A853.AK952 KJ.Q753.T74.J743 | 1C-P-1S-P-1N-P-2D-P-3N
48    S  1N-S       120          9762.AQ3.985.A74 QT83.K872.QJ7.92 J4.J5.AK32.KQJT8 AK5.T964.T64.653 | 1C-P-1S-P-1N
49    S  2D-S       110          Q4.Q743.7652.AJ8 T8632.K982.K9.42 KJ.T5.AQ843.KQT9 A975.AJ6.JT.7653 | 1D-P-1H-P-2C-P-2D
50    S  3N-S      -100          AQ962.J8.QJ63.95 KT4.AK94.T84.643 3.Q63.AK97.AJ872 J875.T752.52.KQT | 1C-P-1S-P-1N-P-2D-P-3N
51    S  3N-N       -50          T752.AQ732.AJ2.6 QJ63.J85.T94.Q82 84.6.KQ653.AKJ94 AK9.KT94.87.T753 | 1D-P-1H-P-2C-P-2N-P-3N
52    S  2C-S       130          JT542.AJ84.43.A2 K63.T963.Q9.QJ87 8.K2.AKJT2.KT953 AQ97.Q75.8765.64 | 1D-P-1S-P-2C
53    S  2D-S       130          T652.KQ42.853.AJ Q974.73.AQ42.Q42 AK.J6.KJT97.K975 J83.AT985.6.T863 | 1D-P-1H-P-2C-P-2D
54    S  2C-S        90          KJ74.QJ82.76.KT8 T85.A975.A83.J54 Q62.T.KJ952.AQ92 A93.K643.QT4.763 | 1D-P-1H-P-2C
55    S  2D-S       110          K3.K9872.QT9.Q94 AJ72.AJ5.643.763 Q98.3.AJ875.AT82 T654.QT64.K2.KJ5 | 1D-P-1H-P-2C-P-2D
56    S  2D-N       110          KJ43.QT52.J854.5 9852.A3.T96.KQ73 7.874.AKQ7.AJT86 AQT6.KJ96.32.942 | 1C-P-1D-P-2D
57    S  2C-S       110          QT3.QJ4.J3.Q9762 K986.AT93.984.T4 A5.76.K7652.AKJ8 J742.K852.AQT.53 | 1D-P-1N-P-2C
