../bba/Reverse_Flannery.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
43    S  2S-S       170          QJ732.AJ765.2.95 T865.Q8.A95.AT62 AK.93.KQT43.KQ74 94.KT42.J876.J83 | 1D-P-2H=1=-P-2S | Reverse Flannery 2H
44    S  4S-N       680          AJT32.QJT8.Q743. 6.764.KJT8.AQ986 KQ87.A5.A6.KT742 954.K932.952.J53 | 1C-P-2S=1=-P-4S | Reverse Flannery 2S
45    S  2S-S       140          AJT52.QJ95.943.9 Q.A863.J65.AJT53 K43.T7.AK872.K87 9876.K42.QT.Q642 | 1D-P-2H=1=-P-2S | Reverse Flannery 2H
46    S  2H-N       140          KJ842.KJ52.43.T6 Q65.74.QJ86.KQ73 A3.AQ98.K92.J854 T97.T63.AT75.A92 | 1C-P-2H=1= | Reverse Flannery 2H
47    S  4S-N       650          KJ964.KJ52.Q9.76 Q753.A983.54.AT2 A82.6.AKJT.KJ843 T.QT74.87632.Q95 | 1C-P-2S=1=-P-4S | Reverse Flannery 2S
48    S  3H-S       200          KQT87.KQ53.2.T97 J94.A9.KQJ976.J8 A.JT42.543.AKQ42 6532.876.AT8.653 | 1C-P-2S=1=-P-3H | Reverse Flannery 2S
49    S  2H-N       170          KJ863.KJT64.95.9 AT72.9852.K7.AJ8 9.Q73.AQJ8.KQT42 Q54.A.T6432.7653 | 1C-P-2H=1= | Reverse Flannery 2H
50    S  3S-S       230          QJ652.AJ95.4.T73 T974.QT8.K8.KJ85 A83.K64.AJ9762.A K.732.QT53.Q9642 | 1D-P-2H=1=-P-3S | Reverse Flannery 2H
51    S  4S-N       480          AJ643.KJ54.83.54 Q7.AT962.K964.83 KT52..AJT.AQJT72 98.Q873.Q752.K96 | 1C-P-2S=1=-P-4S | Reverse Flannery 2S
52    S  2S-N       110          KJ954.QJ87.K64.2 AQ87.A63.T853.KT 63.542.AQJ.AJ953 T2.KT9.972.Q8764 | 1C-P-2S=1= | Reverse Flannery 2S
53    S  2S-S       140          QJT72.KQT3.T5.T6 43.AJ64.K84.AQ42 A96.9.AQJ92.K973 K85.8752.763.J85 | 1D-P-2H=1=-P-2S | Reverse Flannery 2H
54    S  2S-S       140          AJT92.QJ983.43.3 73.K64.AQJ.K9754 K4.A52.K9765.QT6 Q865.T7.T82.AJ82 | 1D-P-2H=1=-P-2S | Reverse Flannery 2H
55    S  2S-N       110          QJ975.QJ96.3.QJ7 63.T754.AQ94.K64 A8.AK8.J762.8532 KT42.32.KT85.AT9 | 1D-P-2S=1= | Reverse Flannery 2S
56    S  3H-S       170          KQ876.KJ82.J32.2 T542.74.64.AKQ85 9.AQ53.AQT98.T64 AJ3.T96.K75.J973 | 1D-P-2S=1=-P-3H | Reverse Flannery 2S
57    S  3C-S       130          KJT93.QJ54.J9.32 Q642.AK96.743.84 .T3.AKQ86.AJT976 A875.872.T52.KQ5 | 1C-P-2H=1=-P-3C | Reverse Flannery 2H
58    S  3H-S       140          AJT87.KJ84.53.74 6.Q7.864.AKQ9863 KQ3.A652.QJ97.J5 9542.T93.AKT2.T2 | 1D-P-2S=1=-3C-3H | Reverse Flannery 2S
59    S  4S-S       420          KJ862.QJ82.T.J42 4.A97.AKJ752.QT9 AT95.53.Q9864.AK Q73.KT64.3.87653 | 1D-P-2H=1=-P-4S | Reverse Flannery 2H
60    S  2S-N       110          AJ763.KQ85.T2.75 KQ2.A4.A764.KT32 85.J972.KJ.AQJ86 T94.T63.Q9853.94 | 1C-P-2S=1= | Reverse Flannery 2S
61    S  3D-S       130          AJT83.QJ987.98.8 Q72.T6.J53.AQ732 65.A2.AQ7642.KJ6 K94.K543.KT.T954 | 1D-P-2H=1=-P-3D | Reverse Flannery 2H
62    S  5DX-E      100          KJ876.AJ75..6543 AQ2..KT98654.AJ9 543.K963.AQ.KQT8 T9.QT842.J732.72 | 1C-P-2S=1=-3D-3H-4D-P-5D-X | Reverse Flannery 2S
63    S  2H-N       110          QJT32.QJT54..984 A8765.A8.AT3.Q76 4.963.KQ765.AKJT K9.K72.J9842.532 | 1D-P-2H=1= | Reverse Flannery 2H
64    S  2S-N       140          KJ982.AJ65.64.75 A43.T984.AJ9.J62 T6.KQ7.QT82.AK94 Q75.32.K753.QT83 | 1D-P-2S=1= | Reverse Flannery 2S
65    S  3S-S       170          QJ764.KQ762.6.93 AT.T4.432.AQJT42 K32.A9.AKJT98.75 985.J853.Q75.K86 | 1D-P-2H=1=-3C-3S | Reverse Flannery 2H
66    S  4H-N       680          QJ652.QJT5.Q84.8 KT9.74.76.KT6543 A.AK63.AT53.A972 8743.982.KJ92.QJ | 1D-P-2H=1=-P-4H | Reverse Flannery 2H
67    S  3C-S       110          AJT92.KJ43.J743. Q8764.A7.K98.A86 K.952.AQ5.QJT942 53.QT86.T62.K753 | 1C-P-2S=1=-P-3C | Reverse Flannery 2S
68    S  3D-S       130          AK975.QJ82.T4.65 QJ83.AKT5.Q2.KQ4 6.73.AKJ85.AJ982 T42.964.9763.T73 | 1D-P-2S=1=-P-3C-P-3D | Reverse Flannery 2S
