../bba/Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
321   W  2N-N       120          QT7.84.AK3.QT432 A98.KT75.J64.876 KJ62.AJ9.QT97.J9 543.Q632.852.AK5 | P-P-P-1D-P-2N
322   W  2H-N       110          53.A932.Q654.A52 KQ64.T7.J32.QJ74 AT.QJ65.K987.KT6 J9872.K84.AT.983 | P-P-P-1D-P-1H-P-2H
323   W  3H-S       140          AT9.KQ4.53.QT762 J72.A6.QT942.K98 K864.98752.A8.A5 Q53.JT3.KJ76.J43 | P-P-P-1H-P-2C=1=-P-2H-P-3H | Reverse drury
324   W  Pass-?     140          KT5.Q87.KJ765.74 876.K964.Q4.AJ85 AQ93.AT32.983.T2 J42.J5.AT2.KQ963 | P
325   W  2H-S      -200          QT86.Q.9653.JT63 K92.J87.KT84.A95 A74.AT9643.QJ7.Q J53.K52.A2.K8742 | 1C-P-1D-1H-P-P-X-2H
326   W  1N-W       -90          Q964.Q2.QT97.A65 JT8.AJT.KJ84.T83 AK52.96543.52.Q7 73.K87.A63.KJ942 | 1C-P-1D-P-1N
327   W  1N-N       120          K32.942.AJ64.965 AQ6.K85.9873.743 74.AQT7.KT2.AJ82 JT985.J63.Q5.KQT | P-P-P-1C-P-1D-P-1H-P-1N
328   W  3H-S       170          85.JT6.AQ62.AT84 A764.42.T9873.K2 J93.AKQ85.5.J975 KQT2.973.KJ4.Q63 | P-P-P-1H-P-2C=1=-P-2H-P-3H | Reverse drury
329   W  3N-N       400          T653.KT5.J2.AK92 K87.AJ643.K65.75 A4.Q2.AT43.QJT86 QJ92.987.Q987.43 | P-1C-1H-2H=1=-P-3N | Limit raise or better in !C
330   W  1N-N        90          KJ9.963.AJT9.982 QT632.T5.Q62.AQ7 75.AKQ2.K873.T54 A84.J874.54.KJ63 | P-P-P-1D-P-1N
331   W  2S-E      -110          A97.T63.QT.KQT43 KT852.K98.953.J2 43.A52.K762.A875 QJ6.QJ74.AJ84.96 | P-P-2S
332   W  2H-S       140          T974.K98.QT9.Q65 K3.T52.A632.AT87 85.AQJ63.K87.KJ2 AQJ62.74.J54.943 | P-P-1D-1H-1S-P-P-X-P-2H
333   W  2D-W       100          T9865.K5.A75.T73 QJ.T743.QJT6.K42 74.AQ96.43.AQJ65 AK32.J82.K982.98 | 1D-P-1H-2C-X=1=-P-2D | Support double redouble
334   W  1N-W       -90          AQ4.9862.962.QJ3 T32.Q754.AJT3.K2 J976.K3.Q.AT8765 K85.AJT.K8754.94 | 1D-P-1H-P-1N
335   W  1N-N        90          43.984.AQ62.J875 JT98.T632.KJ.A43 K76.AJ7.9873.KQT AQ52.KQ5.T54.962 | P-P-P-1D-P-1N
336   W  3HX-N     -500          KT2.K943.J643.75 Q953.A8.K52.T832 J6.T76.Q98.AKQJ6 A874.QJ52.AT7.94 | 1D-P-1S-P-2S-P-P-X-P-3H-P-P-X
337   W  Pass-?    -500          AJT.Q8652.J87.Q8 K72.J94.T94.AJ54 Q6.KT7.K532.KT92 98543.A3.AQ6.763 | P
338   W  1N-N        90          KJ8.K983.9754.A7 A3.QT54.T82.QJT8 T9764.76.AKQ.952 Q52.AJ2.J63.K643 | P-1D-P-1S-P-1N
339   W  1H-N       110          K85.Q8652.K5.JT9 9762.J3.J863.AQ3 A43.A74.AT74.752 QJT.KT9.Q92.K864 | P-P-P-1D-P-1H
340   W  Pass-?     110          A4.J43.KT986.Q72 9853.QT5.A75.AT3 QJ2.K862.43.KJ94 KT76.A97.QJ2.865 | P
341   W  2C-S       110          7642.A73.K9752.T J985.Q982.QT3.A4 A3.K6.A86.QJ6532 KQT.JT54.J4.K987 | P-P-P-1C-P-1D-P-2C
342   W  2H-N       170          QJ86.J962.K42.AT A97.Q5.J97.QJ762 4.A843.AQT83.K84 KT532.KT7.65.953 | P-P-P-1D-P-1H-P-2H
343   W  Pass-?     170          J74.AQ98.J52.542 AQT6.J64.T94.AT7 K953.T52.A83.K98 82.K73.KQ76.QJ63 | P
344   W  2C-S        90          A9864.T76.53.AJ8 JT5.K32.KJ74.T65 2.AQ8.AQT86.9742 KQ73.J954.92.KQ3 | P-P-P-1D-P-1S-P-2C
345   W  1S-N        80          7654.Q8.973.AQ64 AT.J54.KJ862.973 K82.KT732.AT5.K2 QJ93.A96.Q4.JT85 | P-P-P-1H-P-1S
346   W  3N-N       630          QJ92.KT.KT94.QT8 876.A73.AQ865.J5 A.Q9652.J73.AK72 KT543.J84.2.9643 | P-P-1D-1H-P-1S-P-2C-P-3N
347   W  1N-S        90          K862.J8.T64.A543 AT53.763.A87.K86 9.AQ54.KQ952.QT9 QJ74.KT92.J3.J72 | P-P-P-1D-P-1S-P-1N
348   W  2S-N       110          K754.9652.K3.J43 Q2.AJ873.542.A96 AJ98.T4.Q76.KQ85 T63.KQ.AJT98.T72 | P-P-1H-X-XX-2S
349   W  2H-S       110          AT7.A76.Q764.976 K84.T98.A985.K32 J96.KQ432.JT.AJT Q532.J5.K32.Q854 | P-P-P-1H-P-2C=1=-P-2H | Reverse drury
350   W  2D-S       150          A86.T832.KJ.K753 QJ752.A97.83.T92 43.5.AQ7652.AJ86 KT9.KQJ64.T94.Q4 | P-1C-P-1D-1H-P-P-2D
351   W  3D-S       130          AKT8.T76.T96.K53 J73.AQ42.J4.T874 54.K8.KQ8532.A96 Q962.J953.A7.QJ2 | P-P-P-1D-P-1S-P-2D-P-3D
352   W  2C-S       110          A8532.9632.T.943 Q964.Q4.Q632.AJ5 .A85.AKJ85.KT762 KJT7.KJT7.974.Q8 | P-P-P-1D-P-1S-P-2C
353   W  3N-N       430          J95.T876.AQ83.A3 Q832.AQJ9.62.952 A6.K4.KT754.KJT8 KT74.532.J9.Q764 | P-1D-P-2D=1=-P-2N-P-3N | Inverted minors
354   W  3H-S       140          QJ8.632.QT8.AJ97 53.K87.AJ973.863 KT2.AQJ95.64.QT4 A9764.T4.K52.K52 | P-P-2D-2H-P-3D=1=-P-3H | Limit raise or better in !H
355   W  2H-E       100          652.J96.J7.AKT54 K83.A7543.K63.J2 AJ9.QT.AQ952.876 QT74.K82.T84.Q93 | P-P-1H-2D-2H
356   W  3H-S       140          AQJ85.K93.96.986 K96.T7.QJ83.AJT5 742.AJ864.A72.Q7 T3.Q52.KT54.K432 | P-P-P-1H-P-1S-X=1=-XX=2=-2C-3H | Two suit takeout double | Support double redouble
357   W  Pass-?     140          QT6.QT8.AQ2.JT86 A75.A73.KT53.932 K982.KJ.974.Q754 J43.96542.J86.AK | P
358   W  1N-W       -90          KQ53.865.QJ94.J2 J7.AQ972.A53.975 A986.K43.K6.T843 T42.JT.T872.AKQ6 | P-P-1H-P-1N
359   W  2N-S       120          9862.AK3.74.KT94 KJ73.T75.963.AJ6 A5.J82.KQJT5.Q75 QT4.Q964.A82.832 | P-P-P-1D-P-1S-P-1N-P-2C-P-2N
360   W  Pass-?     120          KT86.T8.943.AK76 432.A742.KQ.T982 AQ9.K963.J752.53 J75.QJ5.AT86.QJ4 | P
361   W  1H-N       110          QJ9.KQJT.854.Q54 8764.854.K62.AKJ AK2.962.AT973.72 T53.A73.QJ.T9863 | P-P-P-1D-P-1H
362   W  1N-N       120          T76.AJ4.J765.QJ2 K853.T932.AQ9.74 A92.Q7.KT32.A985 QJ4.K865.84.KT63 | P-P-P-1D-P-1N
363   W  Pass-?     120          A94.82.A985.Q752 762.KQ4.JT7.A983 KJ3.9765.K643.KT QT85.AJT3.Q2.J64 | P
364   W  3N-N       600          J7643.KT6.AQ5.J6 KT5.Q84.KJ6.T954 A8.A732.T874.AQ2 Q92.J95.932.K873 | P-1S-P-2D-P-2N-P-3N
365   W  Pass-?     600          A3.QT86.Q953.KT6 QJ9.932.872.AQJ8 KT54.A74.K64.974 8762.KJ5.AJT.532 | P
366   W  1N-N       150          Q74.K84.QT5.A875 JT532.Q5.J974.J4 96.AJT2.K86.KQT9 AK8.9763.A32.632 | P-P-P-1C-P-1N
367   W  2D-S       110          T4.KT63.K43.K872 AKJ2.9842.87.QJ6 Q985.Q5.AQJT95.T 763.AJ7.62.A9543 | P-P-P-1D-P-1H-P-1S-P-1N-P-2D
368   W  1N-W       -90          98.J32.AJT64.KQ5 J643.K5.832.A762 KQ75.876.KQ5.T93 AT2.AQT94.97.J84 | 1H-P-1S-P-1N
369   W  Pass-?     -90          J5.A73.632.KQ983 Q7.JT96.KJT.AT42 K963.KQ8.9754.J5 AT842.542.AQ8.76 | P
370   W  2S-N       140          KQT42.T76.KJ7.74 A5.AJ9.96543.Q62 J83.Q83.AQ8.A985 976.K542.T2.KJT3 | P-P-1D-X-1H-2S
371   W  2N-N       120          K9.953.A8732.KJ7 J763.A86.KQ65.84 AQ82.KJ7.JT.T653 T54.QT42.94.AQ92 | P-1D-P-1S-P-1N-P-2N
372   W  3H-E      -140          A854.853.QT32.JT J62.QJT97.K8.A32 KT7.K6.75.KQ8654 Q93.A42.AJ964.97 | 1D-P-1H-2C-X=1=-P-3H | Support double redouble
373   W  3N-N      -200          Q872.954.JT6.QJ9 AKJ53.K82.932.54 6.JT3.AK84.AK832 T94.AQ76.Q75.T76 | P-P-1S-X-2S-P-P-X-P-2N-P-3N
374   W  2N-W       100          73.AT2.T876.A975 KJ942.76.AJ2.QT6 QT65.QJ53.Q53.K3 A8.K984.K94.J842 | P-P-1S-P-2N
375   W  2N-W       100          KQ84.76.QT72.J62 762.AT542.AK8.53 AT3.KQJ3.4.T9874 J95.98.J9653.AKQ | P-P-1H-P-2N
376   W  1S-N       140          AQJ52.J73.Q82.63 K843.K8.943.AJ82 T96.QT542.AJ.KQ9 7.A96.KT765.T754 | P-P-P-1H-P-1S
377   W  1N-N        90          J9.AQ3.J92.QT876 Q873.K542.KT6.95 AKT64.98.A85.432 52.JT76.Q743.AKJ | P-P-P-1S-P-1N
378   W  2S-E      -110          T3.A76.T9865.KJ8 A9742.985.AK.765 QJ5.QJ42.QJ42.A2 K86.KT3.73.QT943 | P-P-1S-P-2S
379   W  Pass-?    -110          J43.KJ8.654.KQT5 K72.QT76.K32.864 A865.953.AQ8.J92 QT9.A42.JT97.A73 | P
380   W  3C-S       130          K85.AQ832.T84.Q4 AQ92.974.Q62.T82 J3.6.K953.AKJ953 T764.KJT5.AJ7.76 | P-1H-P-3C=1= | Inviting Jump Shifts
381   W  2N-E      -120          87.J632.J54.AK53 A932.KT7.A6.T987 KJ64.984.K983.Q4 QT5.AQ5.QT72.J62 | P-P-1C-P-1D-P-1N-P-2N
382   W  2H-E        50          JT87.92.AJ73.AJ6 9653.AKJ5.K4.742 AKQ.T64.52.KT853 42.Q873.QT986.Q9 | P-P-1C-P-1D-P-1H-P-2H
383   W  3S-E      -140          T7.QJ652.A32.987 AQJ98.T73.J5.KT2 K42.9.QT9874.AQ4 653.AK84.K6.J653 | 1C-P-1S-2D-X=1=-P-3S | Support double redouble
384   W  1N-N       -50          A72.A9874.43.K95 43.K65.T82.AQJ63 KJT65.QJ.J97.874 Q98.T32.AKQ65.T2 | P-1H-P-1S-P-1N
385   W  3H-S       -50          76.T63.AJ52.AQ98 J42.Q98.K987.J73 A93.AJ52.Q64.T65 KQT85.K74.T3.K42 | 1S-P-2S-P-P-X-P-3H
386   W  1H-W       -80          JT7.9754.AK3.653 542.AK.T982.A942 AQ96.863.Q75.KT8 K83.QJT2.J64.QJ7 | P-P-1D-P-1H
387   W  1S-W       -80          A85.QJ2.642.9753 97.KT94.J75.AJ62 KT2.853.AKT3.K84 QJ643.A76.Q98.QT | P-P-P-1D-1S
388   W  2H-S       110          J86.AQ4.JT5.Q754 AT94.T76.A864.T2 Q7.KJ532.K93.K96 K532.98.Q72.AJ83 | P-P-P-1H-P-2C=1=-P-2H | Reverse drury
389   W  1N-N       120          Q6.654.KQ975.K73 A983.73.JT8.J942 KJ2.AJ92.A62.T65 T754.KQT8.43.AQ8 | P-P-P-1C-P-1D-P-1H-P-1N
390   W  Pass-?     120          T876.T543.Q4.AK3 943.A87.K5.QT876 KQ.KQ62.98732.J5 AJ52.J9.AJT6.942 | P
391   W  1H-N       110          J54.AQ62.62.K742 K9632.T73.KJ8.T3 A7.984.AQT43.QJ8 QT8.KJ5.975.A965 | P-P-P-1D-P-1H
392   W  2H-W      -110          QJ32.94.QJ52.K65 KT.8752.A976.AT4 9754.AKT.KT3.Q98 A86.QJ63.84.J732 | P-P-1D-P-1H-P-2H
393   W  2N-S       120          AT73.A3.JT65.Q32 652.JT86.K2.K987 K8.Q954.Q9874.AJ QJ94.K72.A3.T654 | P-P-P-1D-P-1S-P-1N-P-2N
394   W  1N-N        90          72.T98.KJ976.AK6 KQ5.AJ7.432.JT54 AT63.K542.QT8.83 J984.Q63.A5.Q972 | P-1D-P-1H-P-1N
395   W  Pass-?      90          A975.A92.732.T54 QT8.QJ76.KQ4.863 KJ32.K84.865.KJ2 64.T53.AJT9.AQ97 | P
396   W  1N-S       150          KQJ9.754.KJ5.J76 A32.QT6.T82.T543 T8.AJ32.7643.AKQ 7654.K98.AQ9.982 | P-P-P-1D-P-1S-P-1N
397   W  3C-W      -130          982.K7.QJT64.Q43 KT73.932.K5.AJ85 QJ54.AQJT8.732.9 A6.654.A98.KT762 | 1C-1D-1S-2D-P=1=-P-X-P-3C | Max 2 !S
398   W  Pass-?    -130          76.KJ32.KQ3.J752 T832.AQ97.74.A84 A954.64.852.KQT9 KQJ.T85.AJT96.63 | P
399   W  3H-S       170          AJ85.865.KQT.T53 K2.J9.J8654.Q987 Q7.AQT432.97.AJ6 T9643.K7.A32.K42 | P-P-P-1H-1S-2H-P-P-X-P-3D-3H
400   W  3H-S       200          K62.QT7.AT973.85 A985.82.KQ4.J963 Q4.AK965.J6.AT74 JT73.J43.852.KQ2 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H-P-3H | Reverse drury | Artificial
401   W  1N-N        90          A96.75.AQT72.765 K85.J82.K94.QT92 QJ3.KT943.J65.A4 T742.AQ6.83.KJ83 | P-P-P-1H-P-1N
402   W  1N-S        90          K9876.KJ5.Q84.43 AJT4.T932.753.KJ Q.Q87.AKJ6.98762 532.A64.T92.AQT5 | P-P-P-1C-P-1S-P-1N
403   W  Pass-?      90          T87.K2.KQ75.K954 A4.963.JT32.AQ83 KQ9632.QT4.86.J2 J5.AJ875.A94.T76 | P
404   W  2S-W      -110          A9.AT5.T763.T764 754.KJ2.Q2.KJ852 Q32.Q864.KJ95.A9 KJT86.973.A84.Q3 | P-P-P-1D-1S-1N-2S
405   W  2N-E      -120          J93.6532.J543.QJ KT4.KJ.T872.AT93 AQ5.Q74.KQ9.8652 8762.AT98.A6.K74 | 1C-P-1D-P-1H-P-2N
406   W  2H-N       110          82.AK982.J42.Q63 Q93.JT4.Q653.AJ4 KJT6.Q75.K98.752 A754.63.AT7.KT98 | 1C-1H-P-2H
407   W  1N-N       120          AJ2.632.J762.AT4 T8754.K97.KQ.QJ9 3.AQ85.A54.K8763 KQ96.JT4.T983.52 | P-P-P-1C-P-1D-P-1H-P-1N
408   W  3D-S       110          T75.QT92.A87.K85 K864.A864.K9.T96 AJ.KJ.QJ6542.J32 Q932.753.T3.AQ74 | P-P-P-1D-P-1H-P-2D-P-3D
409   W  2H-N       -50          J984.T543.AK.J85 KT63.KJ.QT5.T976 A75.A976.J962.K4 Q2.Q82.8743.AQ32 | P-P-P-1D-P-1H-P-2H
410   W  3H-S       170          AKQ.J8.JT742.752 T43.Q7.K953.A843 J62.AK6532.6.KQT 9875.T94.AQ8.J96 | P-P-P-1H-P-2N-P-3H
411   W  Pass-?     170          KQ86.J54.T43.AJ7 AJ7.T972.K975.QT T52.AK83.J2.K842 943.Q6.AQ86.9653 | P
412   W  Pass-?     170          T82.T2.AQ2.K8742 Q653.AQ5.53.QT65 J94.KJ74.KJT64.J AK7.9863.987.A93 | P
413   W  1N-N       150          A52.QT9.QJ74.J82 KJ7.J52.953.AQT6 98.AK86.AK82.754 QT643.743.T6.K93 | P-P-P-1D-P-1N
414   W  3H-W        50          AJ3.Q6.JT832.984 K9762.K52.K94.73 Q4.JT4.65.AKQT62 T85.A9873.AQ7.J5 | 1H-P-3H
415   W  2D-E        50          Q842.95.943.AKT5 J97.863.KJ872.Q7 AK.JT74.A65.J432 T653.AKQ2.QT.986 | P-P-2D
416   W  2N-N       120          K8.KT43.KQ3.T875 A94.J6.AJT54.964 J7653.85.98.AKQJ QT2.AQ972.762.32 | P-P-P-1S-P-2N
417   W  1S-W       -80          92.QT972.AQJ.Q62 A87.K4.K9853.JT3 KQ54.865.T74.A75 JT63.AJ3.62.K984 | P-P-1D-P-1S
418   W  3D-S       130          T98.AJ7.A872.T94 K73.643.J6.AQ875 A6.QT98.KQT95.J2 QJ542.K52.43.K63 | P-P-P-1D-1S-2D-2S-3D
419   W  2H-E      -110          9832.AK.J764.854 Q54.87542.KT8.AQ AK6.JT3.Q92.JT72 JT7.Q96.A53.K963 | P-P-1H-P-2C=1=-P-2D-P-2H | Drury
420   W  2H-N       140          KT.AT85.642.K873 982.Q6.AK753.T65 AJ63.J932.JT9.AJ Q754.K74.Q8.Q942 | P-P-P-1D-P-1H-P-2H
421   W  2D-S       110          QT92.K93.A64.J54 J865.Q754.J52.AT A3.AT.K9873.Q763 K74.J862.QT.K982 | P-P-P-1D-P-1S-P-2C-P-2D
422   W  3SX-S     -100          QJ86.T965.KQ8.95 T2.K32.A93.KJT86 AK953.J7.762.Q72 74.AQ84.JT54.A43 | P-P-1C-1S-X-2S-P-P-3D-3S-P-P-X
423   W  2H-S       110          AQ6.JT6.Q98.9752 9853.AK8.J32.KT4 K4.Q9743.A654.Q3 JT72.52.KT7.AJ86 | P-P-P-1H-P-2H
424   W  Pass-?     110          AJT.T853.KQ42.42 Q432.J76.AT9.KJ3 K97.KQ42.J85.Q65 865.A9.763.AT987 | P
425   W  4S-N       -50          AJ983.K94.K93.96 74.AT5.Q854.T832 Q52.J2.J762.AKQ5 KT6.Q8763.AT.J74 | P-1S-P-2C-P-2N-P-4S
426   W  Pass-?     -50          KJ7.T94.J873.A96 A854.Q8.A642.532 632.J532.K.KQJT8 QT9.AK76.QT95.74 | P
427   W  Pass-?     -50          T32.AT94.QJT.A76 J76.872.AK5.K432 AQ954.QJ.742.JT8 K8.K653.9863.Q95 | P
428   W  1S-W      -110          Q92.853.J6.KJ873 543.KT642.QT.AQ4 AK8.J97.K9842.T9 JT76.AQ.A753.652 | P-P-1H-P-1S
429   W  2H-S       200          A9764.J876.2.Q73 KT532.K2.985.K54 .AT954.AJ73.AT86 QJ8.Q3.KQT64.J92 | P-P-P-1H-P-2H
430   W  2D-E        50          A9653.432.QT7.K8 QT4.QT.K9832.QJ7 K82.KJ95.AJ.9652 J7.A876.654.AT43 | P-P-2D
431   W  2N-S       180          QJ63.A97.A8.T987 52.KJ42.JT7.AQ32 AKT.65.KQ9432.J5 9874.QT83.65.K64 | P-1C-P-2D-P-2S-P-2N
432   W  Pass-?     180          AT654.42.AJ5.764 82.AK97.QT63.Q98 QJ3.T5.942.AKJT5 K97.QJ863.K87.32 | P
433   W  Pass-?     180          Q87.A752.962.K86 T9.KQJ8.T73.AT97 KJ62.T93.AQ84.43 A543.64.KJ5.QJ52 | P
434   W  2H-E        50          Q43.J96.K752.AJT A65.KQT84.J83.76 9872.A3.AT.K5432 KJT.752.Q964.Q98 | P-P-2H
435   W  1N-S       150          Q753.AT86.KQ8.82 KJ2.J743.A43.Q63 AT6.Q2.T76.AKT74 984.K95.J952.J95 | P-P-P-1C-P-1H-P-1N
436   W  2S-S       140          A75.A752.963.Q76 QJ8.86.AT74.K982 KT632.Q943.J.AJT 94.KJT.KQ852.543 | P-P-P-1S-P-2C=1=-P-2S | Reverse drury
437   W  Pass-?     140          J96.JT4.J932.AKJ AT.532.K865.QT83 KQ87.K986.QT7.92 5432.AQ7.A4.7654 | P
438   W  2H-S       140          AQJ63.94.T96.T63 K874.Q5.K532.K95 5.KJ8763.A874.A4 T92.AT2.QJ.QJ872 | P-P-P-1H-P-1S-P-2D-P-2H
439   W  1N-S        90          A742.63.Q942.963 Q83.KQJ52.J7.J74 96.AT.KT63.AKT85 KJT5.9874.A85.Q2 | P-P-P-1C-P-1S-P-1N
440   W  3S-N       140          AQJ94.A87.76.982 K5.K963.Q53.JT64 T72.Q4.KT9842.AQ 863.JT52.AJ.K753 | P-1S-P-1N=1=-P-2C-P-3S | Forcing 1NT
441   W  3S-N       -50          J6432.K54.AT9.K9 Q85.93.Q73.AT872 AT9.AJT72.J865.4 K7.Q86.K42.QJ653 | P-1S-P-1N=1=-P-2D-P-3S | Forcing 1NT
442   W  1S-N       110          AT852.32.J86.KQJ 96.QJT7.QT32.843 Q3.A954.AK97.T65 KJ74.K86.54.A972 | 1C-1S
443   W  3H-S       -50          T97.QJ.KJ962.K74 QJ862.K2.843.Q96 A4.A8754.AT5.T82 K53.T963.Q7.AJ53 | P-P-2S-3H
444   W  3D-S       110          JT94.Q9.KJ84.Q65 A853.AKT2.T7.874 K7.J654.AQ963.K9 Q62.873.52.AJT32 | P-P-1C-1D-2C-2D-P-2H-P-3D
445   W  1N-N        90          JT4.K96.QT3.QT72 Q875.QJ3.KJ42.93 A62.84.A87.AJ854 K93.AT752.965.K6 | P-P-P-1C-1H-1N
446   W  3D-W       100          853.AQ87.Q5.K543 Q2.JT6.A9632.T98 KT76.92.J84.AQJ7 AJ94.K543.KT7.62 | 1D-P-3D
447   W  3C-W        50          QT4.KQJ6.T863.T8 A52.84.AQ754.J62 J76.AT972.2.KQ43 K983.53.KJ9.A975 | P-P-1D-1H-X-2H-P-P-3C
448   W  3S-W       100          72.A3.KT985.T983 543.KQJ2.J7.KJ62 KQ9.9874.632.AQ4 AJT86.T65.AQ4.75 | 1S-P-3S
449   W  4D-S       -50          KT87.K73.542.AJ4 A53.JT62.K6.K732 642.Q.AQJ93.QT65 QJ9.A9854.T87.98 | P-P-1C-1D-1H-X-2H-X-P-2N-P-P-3H-P-P-X-P-4D
450   W  2H-E       100          J85.AQ42.T5.KJ63 K4.KT976.J83.854 Q732.J3.AK976.Q7 AT96.85.Q42.AT92 | P-P-2H
451   W  2S-E      -110          Q9.K8653.J65.QJ6 AT842.AQ2.874.52 765.T94.AQ2.A843 KJ3.J7.KT93.KT97 | P-P-1S-P-2C=1=-P-2D-P-2S | Drury
452   W  2D-S        90          T72.9875.A9.K632 KJ54.AJT4.J62.84 AQ9.K2.KT8743.T7 863.Q63.Q5.AQJ95 | P-P-P-1D-P-1H-P-2D
453   W  2H-S       110          AJ32.832.K92.965 K64.QJ5.AJT8.T83 Q9.AT974.763.AQ2 T875.K6.Q54.KJ74 | P-P-P-1H-P-2H
454   W  3C-S       -50          Q5.K92.942.A9764 AT986.Q5.Q63.QT8 KJ7.AJ76.J87.K53 432.T843.AKT5.J2 | P-P-P-1C-P-3C
455   W  3S-E      -140          Q92.976.QJT5.J74 AT843.QJ2.K8.T98 KJ.A854.73.KQ653 765.KT3.A9642.A2 | 1D-P-1S-2C-X=1=-P-3S | Support double redouble
456   W  Pass-?    -140          K72.AT.QT963.Q83 T53.KJ53.A42.JT6 J94.Q7642.K8.A74 AQ86.98.J75.K952 | P
457   W  2S-W      -140          AT2.98.A85.76532 J43.A7.T432.KQ98 75.QJ6542.KQ97.A KQ986.KT3.J6.JT4 | P-P-P-1H-1S-1N-2S
458   W  1N-S        90          J875.QT52.7.AT94 Q92.KJ873.QT4.K5 K63.A6.AJ982.J86 AT4.94.K653.Q732 | P-P-P-1D-P-1H-P-1N
459   W  2N-S       150          AT53.Q32.KQ83.98 Q4.J854.JT6.AJ74 KJ.AKT.752.QT652 98762.976.A94.K3 | P-P-P-1C-P-1S-P-1N-P-2D-P-2N
460   W  Pass-?     150          Q985.KJ5.QJ2.J82 643.T964.A85.A73 AJ2.A873.T96.QT9 KT7.Q2.K743.K654 | P
461   W  Pass-?     150          AQ65.8652.K54.72 J93.T973.AQJ2.K8 72.KQJ.876.AJ943 KT84.A4.T93.QT65 | P
462   W  1N-S        90          J653.KJ8.QT63.T5 KQT8.Q95.J954.Q3 A9.AT72.A8.J9872 742.643.K72.AK64 | P-P-P-1C-P-1S-P-1N
463   W  3N-S      -100          QJT95.T6.A74.K92 K83.KQ73.Q53.854 A2.A95.J9862.AJ7 764.J842.KT.QT63 | P-P-P-1D-P-1S-P-1N-P-2S-P-3N
464   W  2S-S       170          763.K865.A53.A43 84.QJ72.KJ98.K87 AKJT2.T.Q74.JT52 Q95.A943.T62.Q96 | P-P-P-1S-P-2C=1=-P-2S | Reverse drury
465   W  Pass-?     170          QJ92.J75.QT.KJ74 A73.Q984.A8.T853 865.A6.KJ7432.Q9 KT4.KT32.965.A62 | P
466   W  1S-W       -80          K84.KQ65.JT2.J76 72.J92.A98.AQT42 QT3.AT84.Q653.K5 AJ965.73.K74.983 | P-P-1C-P-1S
467   W  2N-N       120          A76.AQJ8.82.7642 KJT8.K42.A75.853 Q4.763.J964.AKQJ 9532.T95.KQT3.T9 | P-1C-P-2C=1=-P-2N | Inverted minors
468   W  2S-E      -110          Q83.J8.T98.AJ753 AK975.T64.J53.KT T2.AK953.K2.Q864 J64.Q72.AQ764.92 | P-P-1S-2H-2S
469   W  1H-W       -80          Q87.652.AJ98.KJ6 KJ3.K84.42.A9754 AT2.Q73.QT75.QT2 9654.AJT9.K63.83 | P-P-1C-P-1H
470   W  Pass-?     -80          93.AK85.QT4.T652 T5.97632.AK8.K94 AK864.Q4.J932.73 QJ72.JT.765.AQJ8 | P
471   W  3H-S       170          KT74.875.AQ6.Q86 AQ865.63.JT4.T73 2.AQJT4.K872.K95 J93.K92.953.AJ42 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H-P-3H | Reverse drury | Artificial
472   W  1H-N       110          K94.KT63.A82.853 J632.874.KQ74.T2 AT7.AQ9.T6.QJ764 Q85.J52.J953.AK9 | P-P-P-1C-P-1H
473   W  3D-S       150          J9542.A73.J753.7 AQ86.Q862.KT2.96 .K95.A984.AKQ842 KT73.JT4.Q6.JT53 | P-P-P-1C-P-1S-P-2D-P-3D
474   W  Pass-?     150          7642.7542.Q83.AK Q53.AQ.J972.JT64 AT8.K9863.K65.83 KJ9.JT.AT4.Q9752 | P
475   W  3H-N       140          KQ6.A965.J752.J4 A8743.84.Q9.T973 9.KQJT.T83.AK852 JT52.732.AK64.Q6 | P-P-2S-X-P-3H
476   W  2N-N       120          843.AT.A876.K765 KJ62.Q52.T42.Q43 QT97.K9876.Q5.A9 A5.J43.KJ93.JT82 | P-1D-P-1H-P-1N-P-2C=1=-P-2N | New Minor Forcing
477   W  2S-W      -110          Q9.T984.QT3.A986 542.A53.K764.JT3 876.KQJ.A98.K754 AKJT3.762.J52.Q2 | 1S-P-2S
478   W  Pass-?    -110          Q74.K95.532.QJ72 KJ52.Q86.A987.63 AT63.JT3.Q6.A984 98.A742.KJT4.KT5 | P
479   W  2H-S       140          K963.QT65.Q6.J53 AJ42.K7.J754.QT2 T7.AJ432.K83.A94 Q85.98.AT92.K876 | P-P-P-1H-P-2H
480   W  Pass-?     140          QJ6.AJ84.T4.KT73 A85.Q765.KQ6.952 K974.92.A9852.Q4 T32.KT3.J73.AJ86 | P
481   W  2H-N       110          T92.AJ964.43.K84 KJ75.QT2.J5.Q932 AQ4.753.AQT2.J75 863.K8.K9876.AT6 | P-P-P-1D-P-1H-P-P-X-P-1S-P-P-2H
482   W  3S-N       140          AK832.Q82.Q75.43 J65.K3.AT94.K976 QT7.A764.K32.QT5 94.JT95.J86.AJ82 | P-1S-P-1N=1=-P-2D-P-3S | Forcing 1NT
