../bba/Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
56    W  3C-S       110          KJ2.AQ92.985.974 Q8764.T84.K72.A5 95.K75.A43.KQ863 AT3.J63.QJT6.JT2 | P-P-2S-3C
57    W  4D-S       150          J92.952.QJ2.AQ86 A65.AQ73.75.JT93 KQ84.8.AT9843.K7 T73.KJT64.K6.542 | P-P-1C-1D-1H-2D-2H-3D-3H-P-P-4D
58    W  3N-N       600          KT763.A64.A3.T87 AJ2.Q52.JT965.53 95.T73.KQ72.AKJ9 Q84.KJ98.84.Q642 | P-1S-P-2C-P-2N-P-3D-P-3N
59    W  Pass-?     600          AT32.532.A942.42 K64.AJT9.863.QT3 J97.Q8.QJ.AJ9876 Q85.K764.KT75.K5 | P
60    W  Pass-?     600          T65.53.AT2.AQT94 Q942.AJ9.J654.J7 J8.Q862.KQ9.K652 AK73.KT74.873.83 | P
61    W  1N-S        90          KJ94.J54.K963.54 AQ65.K732.Q8.T96 87.AT8.AT72.AJ83 T32.Q96.J54.KQ72 | P-P-P-1D-P-1S-P-1N
62    W  1N-N       120          QT2.Q63.KT4.QJ54 K54.KT74.Q72.T32 J986.982.A86.AK6 A73.AJ5.J953.987 | P-P-P-1C-P-1N
63    W  Pass-?     120          KJ52.K6.T74.Q632 974.QJ4.KQ83.K95 A83.T9832.J5.AJ8 QT6.A75.A962.T74 | P
64    W  2N-N       120          QJ6.KT94.T7.AJT7 A853.QJ5.Q953.86 K4.83.AK842.Q432 T972.A762.J6.K95 | P-P-P-1D-P-1H-P-2C-P-2N
65    W  3N-N       430          AQJ75.764.K74.J2 9864.KT53.T65.85 K.AJ8.QJ932.AT94 T32.Q92.A8.KQ763 | P-1S-P-2D-P-2N-P-3C-P-3D-P-3N
66    W  3D-S      -200          J9.KT73.QT85.QJ2 Q75.AQ8.K94.T854 K6432.J6.A632.K7 AT8.9542.J7.A963 | P-P-P-1S-P-1N-P-2D-P-3D
67    W  2D-S       110          J65.J92.A863.K62 Q98.T65.K4.AQT73 KT7.AQ74.QJ975.5 A432.K83.T2.J984 | P-P-P-1D-P-1N-P-2D
68    W  Pass-?     110          K542.842.A962.Q5 Q96.AKJ9.75.J873 J87.Q73.KJ4.A964 AT3.T65.QT83.KT2 | P
69    W  Pass-?     110          Q2.AQ98.864.K872 KT5.J5.AJ92.J964 AJ63.KT6.753.QT3 9874.7432.KQT.A5 | P
70    W  3C-N       110          J32.KT9.KT2.JT63 A754.652.J954.Q4 K9.Q87.AQ73.K985 QT86.AJ43.86.A72 | 1C-P-1S-X-2S-P-P-X-P-3C
71    W  3C-S       130          K72.T93.AK854.95 JT4.KQ542.T3.AJ7 A98.J8.Q2.KQT843 Q653.A76.J976.62 | P-P-1H-P-2H-P-P-3C
72    W  3D-S       110          J7532.AQ7.92.QJ3 KT9.K864.K75.972 A.JT3.AQJ864.654 Q864.952.T3.AKT8 | P-P-P-1D-P-1S-P-2D-P-3D
73    W  2D-S        90          QT974.9532.8.A53 A82.QJT6.K72.J98 65.A7.AQJT96.K76 KJ3.K84.543.QT42 | P-P-P-1D-P-1S-P-2D
74    W  2S-W       100          T82.9872.A32.A74 J64.KQT3.KJ95.J6 K7.A6.QT74.KT985 AQ953.J54.86.Q32 | P-P-P-1C-1S-X-P-1N-P-P-2S
75    W  3H-E      -140          T83.A8.Q92.AJ743 A54.T9643.K74.Q9 KQ62.72.J65.K865 J97.KQJ5.AT83.T2 | P-1C-P-1S-X=1=-XX=2=-2H-P-P-2S-3H | Two suit takeout double | Support double redouble
76    W  1N-N        90          AT6.Q872.K8.J875 K93.J65.J32.KQT6 QJ82.A43.AT954.9 754.KT9.Q76.A432 | P-P-P-1D-P-1H-P-1S-P-1N
77    W  1H-N        80          K872.KQ84.T97.97 AJ95.963.52.KQT5 QT6.T72.AKQJ4.82 43.AJ5.863.AJ643 | P-P-P-1D-P-1H
78    W  Pass-?      80          T87.AQ2.KQT82.T7 Q95.84.A75.A8643 AJ6.J965.63.KQ95 K432.KT73.J94.J2 | P
79    W  Pass-?      80          J65.AK8.T863.832 732.543.AKJ7.K54 Q8.QT92.954.AQJ6 AKT94.J76.Q2.T97 | P
80    W  Pass-?      80          AT7.A875.952.984 K852.K32.A7.T752 Q943.Q96.JT43.AQ J6.JT4.KQ86.KJ63 | P
81    W  1N-S       -50          AKT6.743.J2.9843 Q32.J62.KT3.K762 J9.KQT5.Q8765.AT 8754.A98.A94.QJ5 | P-P-P-1D-P-1S-P-1N
82    W  2N-E        50          JT974.JT4.72.QT2 KQ6.KQ.T85.J9643 A5.87653.AQ3.A87 832.A92.KJ964.K5 | 1D-P-2N
83    W  Pass-?      50          Q653.K982.32.KT6 AT2.J76.KQ85.J73 KJ8.QT4.AJT96.94 974.A53.74.AQ852 | P
84    W  4D-N      -200          T654.AQJ9.542.A8 AQ8.8764.K8.JT74 J3.K5.A973.KQ962 K972.T32.QJT6.53 | P-1D-P-2C-P-2D-P-3D-P-3H-P-4D
85    W  2C-S        90          T94.AKJT7.J4.J64 532.84.KT92.AK73 AQJ.3.A7653.QT95 K876.Q9652.Q8.82 | P-P-P-1D-P-1H-P-2C
86    W  2S-W       100          QJ97.T87.AK4.632 AT8.QJ4.J983.QJ4 3.K965.QT6.AK985 K6542.A32.752.T7 | P-P-P-1C-1S-1N-2S
87    W  2N-S       120          AQT92.K84.Q7.T97 J73.T932.KT2.A63 85.QJ76.AJ63.K82 K64.A5.9854.QJ54 | P-1S-P-1N=1=-P-2C-P-2N | Forcing 1NT
88    W  2N-W      -120          QJT74.986.A94.72 K63.AJ.QJ832.T53 952.QT42.K.KQJ84 A8.K753.T765.A96 | 1D-P-2D=1=-P-2N | Inverted minors
89    W  3H-N       140          KT8.QT72.3.96432 AQJ5.43.A76.T875 92.AK65.KJT954.K 7643.J98.Q82.AQJ | P-P-P-1D-P-1H-X=1=-2H-2S-P-P-3H | Two suit takeout double
90    W  1S-N       110          QT97.A87.A952.76 K65.J632.64.AT43 A42.QT.QT87.KQ82 J83.K954.KJ3.J95 | P-P-P-1D-P-1S
91    W  2D-S       130          964.AT3.A854.Q92 K873.K654.72.863 AT.72.JT963.AKJ5 QJ52.QJ98.KQ.T74 | P-P-P-1D-P-1N-P-2C-P-2D
92    W  Pass-?     130          K864.AQ42.J5.J84 J9.KJ6.T964.KQ52 AQ32.T953.A7.963 T75.87.KQ832.AT7 | P
93    W  1N-S        90          AT963.QJ9.873.94 Q82.A64.J5.JT876 J4.T832.AKQT.A32 K75.K75.9642.KQ5 | P-P-P-1D-P-1S-P-1N
94    W  2H-W        50          AT98.954.Q86.AJT QJ53.Q82.J32.632 K4.J7.KT754.KQ75 762.AKT63.A9.984 | 1H-P-2H
95    W  1H-W      -140          962.A96.653.AQJ4 AT.753.AT8.K9632 Q8754.JT.KQ94.75 KJ3.KQ842.J72.T8 | P-P-1C-P-1H
96    W  2H-W       200          973.QJ98.AQT9.32 QT852.K75.K76.K8 AJ4.42.84.AQJ964 K6.AT63.J532.T75 | P-P-1S-2C-P-P-X-P-2H
97    W  2S-W        50          QT.K872.J954.AT9 A975.AQJ3.73.643 J63.64.KQ62.KQJ8 K842.T95.AT8.752 | P-P-1C-P-1S-P-2S
98    W  2H-S       110          KT43.K3.A96.9862 Q96.JT.JT85.A743 J2.AQ865.KQ42.T5 A875.9742.73.KQJ | P-P-P-1H-P-1S-P-2D-P-2H
99    W  1N-S       120          964.AQ5.J5.AT873 AJ3.J64.AT762.J6 KT.983.KQ83.K954 Q8752.KT72.94.Q2 | P-1C-1D-1N
100   W  2H-N       110          64.KQ84.Q942.943 KQT8.76.K65.Q752 A32.AJ53.T73.K86 J975.T92.AJ8.AJT | P-P-P-1C-P-1H-P-2H
101   W  1N-N      -100          974.T753.K8762.A K86.862.A9.QJT87 AQ53.KJ.Q54.9652 JT2.AQ94.JT3.K43 | P-P-P-1C-P-1D-P-1S-P-1N
102   W  1N-E       100          852.AJ73.A972.Q6 QT.K842.QJ65.754 AJ4.T96.83.AJ983 K9763.Q5.KT4.KT2 | 1S-P-1N
103   W  Pass-?     100          AQ.Q862.T94.T943 T7543.A74.QJ.K86 J86.JT3.AK765.Q5 K92.K95.832.AJ72 | P
104   W  1S-E      -110          K63.9764.J85.A94 Q754.AT32.A93.T5 T2.QJ5.K64.KQJ72 AJ98.K8.QT72.863 | P-P-P-1C-P-1H-P-P-X-P-1S
105   W  Pass-?    -110          K9.J96.KQ98.QT54 J542.T4.A763.A63 Q8763.AK52.5.J87 AT.Q873.JT42.K92 | P
106   W  3C-N       130          AK5.A53.62.T8543 Q762.J74.JT874.J T94.Q6.A953.AK97 J83.KT982.KQ.Q62 | P-1C-P-2C=1=-P-3C | Inverted minors
107   W  3C-S       110          KJ.K65.J832.QT93 872.AJT42.Q74.K8 A653.87.K5.AJ652 QT94.Q93.AT96.74 | P-P-2H-3C
108   W  1N-S      -100          Q75.Q742.T9.AT95 J43.AK95.J863.74 982.J6.AK74.KJ62 AKT6.T83.Q52.Q83 | P-P-P-1D-P-1H-P-1N
109   W  1S-N        80          K543.K3.Q98.9653 AT2.QT62.T52.AJ4 J76.AJ94.AJ73.T8 Q98.875.K64.KQ72 | P-P-P-1D-P-1S
110   W  2H-S       -50          T875.JT6.K95.A97 A92.A5.T64.QJ532 KQ3.87432.AJ3.T6 J64.KQ9.Q872.K84 | P-P-1C-1H-1N-2H
111   W  1H-N       110          AQ72.J752.K2.J74 98653.AQ8.T86.A5 T.K64.A943.KQT96 KJ4.T93.QJ75.832 | P-P-P-1C-P-1H
112   W  Pass-?     110          Q43.KT963.AJ5.72 K92.AJ7.T762.KT9 AJ85.Q8.98.QJ863 T76.542.KQ43.A54 | P
113   W  2D-S        90          86.KT8.QJ82.J853 KJ.J754.763.AQ96 A9732.63.AK94.42 QT54.AQ92.T5.KT7 | P-P-P-1S-P-1N-P-2D
114   W  1H-N        80          K96.KT95.642.J52 A543.632.AJ3.973 QJ7.J87.K97.AQ64 T82.AQ4.QT85.KT8 | P-P-P-1C-P-1H
115   W  Pass-?      80          T982.AJ8.A953.92 K73.KQ52.Q84.863 AJ6.743.JT6.AJT5 Q54.T96.K72.KQ74 | P
116   W  2H-S       110          7643.J8.KJ65.QJ4 QJ.A74.T873.K876 K82.KQ6532.A9.53 AT95.T9.Q42.AT92 | P-P-P-1H-P-1S-P-2H
117   W  2N-N      -100          KQ8.T7.KT83.K952 J972.Q4.J92.AJT3 AT43.A9853.74.Q6 65.KJ62.AQ65.874 | P-P-P-1H-P-2N
118   W  1N-S        90          Q954.AJ86.76.QT5 A72.954.AT8.K943 K63.Q7.Q9532.AJ7 JT8.KT32.KJ4.862 | P-P-P-1D-P-1H-P-1N
119   W  3H-S       140          KJ72.T72.Q73.A96 863.K6.AK865.J82 Q.AQJ854.J9.QT54 AT954.93.T42.K73 | P-P-1D-1H-1S-2H-2S-3H
120   W  Pass-?     140          AKQ.8764.Q953.42 854.AJ3.AJ2.T863 T976.Q5.KT7.KQ97 J32.KT92.864.AJ5 | P
121   W  4H-S       420          QJT7.A9.QT94.J98 A852.86.J73.Q752 94.KQJ742.A8.AT6 K63.T53.K652.K43 | P-P-P-1H-P-1S-P-2H-P-3H-P-4H
122   W  2N-N       120          A6.JT5.532.AQ853 KQT4.K98.JT97.J6 J87.AQ62.Q64.KT7 9532.743.AK8.942 | P-1C-P-1H-P-1N-P-2N
123   W  2S-W      -110          K84.A643.9873.Q8 QT2.KQT9.K4.JT72 93.852.AT65.AK96 AJ765.J7.QJ2.543 | P-P-P-1D-1S-X-P-2H-P-P-2S
124   W  Pass-?    -110          5432.A97.KQ93.T7 AT98.J63.J52.KQ4 K76.KT84.64.A852 QJ.Q52.AT87.J963 | P
125   W  2S-S       110          AJT9.9854.A8.Q93 432.AT62.K72.A75 KQ75.KJ3.JT5.J84 86.Q7.Q9643.KT62 | P-1C-P-1S-P-2S
126   W  1N-N       -50          QT5.QT9.8632.A72 A92.82.AJ74.Q963 K843.AJ5.T5.KJT8 J76.K7643.KQ9.54 | P-P-P-1C-1H-1N
127   W  2N-N       120          KQ7.84.JT4.AJ842 J92.KJ2.K873.K75 T5.AQ75.AQ952.T3 A8643.T963.6.Q96 | P-P-P-1D-P-2N
128   W  1N-N       120          KJ8.9652.AQ9.T52 QT64.JT3.K3.QJ86 A972.AK4.JT85.74 53.Q87.7642.AK93 | P-P-P-1D-P-1H-P-1S-P-1N
129   W  2D-S       130          A74.KJ764.65.QT4 J632.AQT9.A9.986 K85.2.KQT432.A32 QT9.853.J87.KJ75 | P-P-1C-1D-2C-P-P-2D
130   W  3C-N      -100          753.KJ8.A64.K874 QT862.Q42.K95.T2 A4.AT653.J72.QJ5 KJ9.97.QT83.A963 | P-P-2S-X-P-3C
131   W  1N-N        90          52.KJ8.K8762.J43 K73.T653.AQ3.T87 QJT6.A742.54.KQ9 A984.Q9.JT9.A652 | P-P-P-1C-P-1D-P-1H-P-1N
132   W  2H-N       140          64.Q542.A753.A92 KQ95.KT3.42.QJ63 T32.AJ86.KJ6.K84 AJ87.97.QT98.T75 | P-P-P-1C-P-1H-P-2H
133   W  1N-W       -90          T3.AK92.K76.JT62 A852.865.JT95.AQ KQJ7.JT73.Q42.97 964.Q4.A83.K8543 | P-P-1D-P-1N
134   W  Pass-?     -90          K54.A96.J972.JT2 AQT98.Q53.T4.Q75 J76.KJT2.K3.K984 32.874.AQ865.A63 | P
135   W  Pass-?     -90          875.AJ73.K7.JT94 A643.954.95.KQ82 KQJ2.KQ.T8642.53 T9.T862.AQJ3.A76 | P
136   W  2H-S       -50          T8532.QT.A9.J964 KQ96.A6.QT2.T873 A4.K7432.J764.A5 J7.J985.K853.KQ2 | P-P-P-1H-P-1S-P-2D-P-2H
137   W  1N-S       120          JT7.A98.T765.AJ2 8543.QJ7.QJ43.T9 A96.T42.AK.Q7543 KQ2.K653.982.K86 | P-P-P-1C-P-1D-P-1N
138   W  1N-E       -90          985.Q52.AQ96.653 J3.J63.KJ3.KQ984 KT2.KT98.754.AT7 AQ764.A74.T82.J2 | 1S-P-1N
139   W  1N-E        50          A85.AT65.T8.J986 K32.Q943.964.KT5 QJ94.K87.Q32.A43 T76.J2.AKJ75.Q72 | P-P-P-1C-1D-1H-P-1S-X-XX-1N
140   W  1N-E       100          Q762.AT2.K96.QT7 85.J964.J74.A832 T9.K873.AQ53.K65 AKJ43.Q5.T82.J94 | 1S-P-1N
141   W  Pass-?     100          KQ95.7642.98.A76 J87.K95.KQ75.QT2 A432.Q8.J43.K854 T6.AJT3.AT62.J93 | P
